location,ip
a-1f,192.168.11.55
a-1f,192.168.11.56
a-1f,192.168.11.57
a-1f,192.168.11.58
a-1f,192.168.11.59
a-1f,192.168.11.60
a-1f,192.168.11.61
a-1f,192.168.11.62
a-1f,192.168.11.63
a-1f,192.168.11.64
a-1f,192.168.11.65
a-1f,192.168.11.66
a-1f,192.168.11.67
a-1f,192.168.11.68
a-1f,192.168.11.69
a-1f,192.168.11.70
a-1f,192.168.11.71
a-1f,192.168.11.72
a-1f,192.168.11.73
a-1f,192.168.11.74
a-1f,192.168.11.75
a-1f,192.168.11.76
a-1f,192.168.11.77
a-3f,192.168.11.49
a-3f,192.168.11.50
a-3f,192.168.11.51
a-3f,192.168.11.52
a-3f,192.168.11.53
a-3f,192.168.11.54
a-4f,192.168.11.41
a-4f,192.168.11.42
a-4f,192.168.11.43
a-4f,192.168.11.44
a-4f,192.168.11.45
a-4f,192.168.11.46
a-4f,192.168.11.47
a-5f,192.168.11.34
a-5f,192.168.11.35
a-5f,192.168.11.36
a-5f,192.168.11.37
a-5f,192.168.11.38
a-5f,192.168.11.39
a-5f,192.168.11.40
a-6f,192.168.11.27
a-6f,192.168.11.28
a-6f,192.168.11.29
a-6f,192.168.11.30
a-6f,192.168.11.31
a-6f,192.168.11.32
a-6f,192.168.11.33
a-7f,192.168.11.20
a-7f,192.168.11.21
a-7f,192.168.11.22
a-7f,192.168.11.23
a-7f,192.168.11.24
a-7f,192.168.11.25
a-7f,192.168.11.26
a-8f,192.168.11.13
a-8f,192.168.11.14
a-8f,192.168.11.15
a-8f,192.168.11.16
a-8f,192.168.11.17
a-8f,192.168.11.18
a-8f,192.168.11.19
a-9f,192.168.11.6
a-9f,192.168.11.7
a-9f,192.168.11.8
a-9f,192.168.11.9
a-9f,192.168.11.10
a-9f,192.168.11.11
a-9f,192.168.11.12
a-10f,192.168.11.1
a-10f,192.168.11.2
a-10f,192.168.11.3
a-10f,192.168.11.4
a-10f,192.168.11.5
a-10f,192.168.11.78
a-10f,192.168.11.79
b-1f,192.168.12.55
b-1f,192.168.12.56
b-1f,192.168.12.57
b-1f,192.168.12.58
b-1f,192.168.12.59
b-1f,192.168.12.60
b-1f,192.168.12.61
b-1f,192.168.12.62
b-1f,192.168.12.63
b-1f,192.168.12.64
b-1f,192.168.12.65
b-1f,192.168.12.66
b-1f,192.168.12.67
b-1f,192.168.12.68
b-1f,192.168.12.69
b-1f,192.168.12.70
b-1f,192.168.12.71
b-1f,192.168.12.72
b-1f,192.168.12.73
b-1f,192.168.12.74
b-1f,192.168.12.75
b-1f,192.168.12.76
b-1f,192.168.12.77
b-3f,192.168.12.48
b-3f,192.168.12.49
b-3f,192.168.12.50
b-3f,192.168.12.51
b-3f,192.168.12.52
b-3f,192.168.12.53
b-3f,192.168.12.54
b-4f,192.168.12.41
b-4f,192.168.12.42
b-4f,192.168.12.43
b-4f,192.168.12.44
b-4f,192.168.12.45
b-4f,192.168.12.46
b-4f,192.168.12.47
b-5f,192.168.12.34
b-5f,192.168.12.35
b-5f,192.168.12.36
b-5f,192.168.12.37
b-5f,192.168.12.38
b-5f,192.168.12.39
b-5f,192.168.12.40
b-6f,192.168.12.27
b-6f,192.168.12.28
b-6f,192.168.12.29
b-6f,192.168.12.30
b-6f,192.168.12.31
b-6f,192.168.12.32
b-6f,192.168.12.33
b-7f,192.168.12.20
b-7f,192.168.12.21
b-7f,192.168.12.22
b-7f,192.168.12.23
b-7f,192.168.12.24
b-7f,192.168.12.25
b-7f,192.168.12.26
b-8f,192.168.12.13
b-8f,192.168.12.14
b-8f,192.168.12.15
b-8f,192.168.12.16
b-8f,192.168.12.17
b-8f,192.168.12.18
b-8f,192.168.12.19
b-9f,192.168.12.6
b-9f,192.168.12.7
b-9f,192.168.12.8
b-9f,192.168.12.9
b-9f,192.168.12.10
b-9f,192.168.12.11
b-9f,192.168.12.12
b-10f,192.168.12.1
b-10f,192.168.12.2
b-10f,192.168.12.3
b-10f,192.168.12.4
b-10f,192.168.12.78
b-10f,192.168.12.79
c-1f,192.168.13.69
c-1f,192.168.13.70
c-1f,192.168.13.71
c-1f,192.168.13.72
c-1f,192.168.13.73
c-1f,192.168.13.74
c-1f,192.168.13.75
c-1f,192.168.13.76
c-1f,192.168.13.77
c-1f,192.168.13.78
c-1f,192.168.13.79
c-1f,192.168.13.80
c-1f,192.168.13.81
c-1f,192.168.13.82
c-1f,192.168.13.83
c-1f,192.168.13.84
c-1f,192.168.13.85
c-4f,192.168.13.44
c-4f,192.168.13.45
c-4f,192.168.13.46
c-4f,192.168.13.47
c-4f,192.168.13.48
c-4f,192.168.13.49
c-4f,192.168.13.50
c-4f,192.168.13.51
c-4f,192.168.13.52
c-4f,192.168.13.53
c-4f,192.168.13.54
c-4f,192.168.13.55
c-4f,192.168.13.56
c-4f,192.168.13.57
c-4f,192.168.13.58
c-4f,192.168.13.59
c-4f,192.168.13.60
c-4f,192.168.13.61
c-4f,192.168.13.62
c-4f,192.168.13.63
c-4f,192.168.13.64
c-4f,192.168.13.65
c-4f,192.168.13.66
c-4f,192.168.13.67
c-7f,192.168.13.17
c-7f,192.168.13.18
c-7f,192.168.13.19
c-7f,192.168.13.20
c-7f,192.168.13.21
c-7f,192.168.13.22
c-7f,192.168.13.23
c-7f,192.168.13.24
c-7f,192.168.13.25
c-7f,192.168.13.26
c-7f,192.168.13.27
c-7f,192.168.13.28
c-7f,192.168.13.29
c-7f,192.168.13.30
c-7f,192.168.13.31
c-7f,192.168.13.32
c-7f,192.168.13.33
c-7f,192.168.13.34
c-7f,192.168.13.35
c-7f,192.168.13.36
c-7f,192.168.13.37
c-7f,192.168.13.38
c-7f,192.168.13.39
c-7f,192.168.13.40
c-7f,192.168.13.41
c-7f,192.168.13.42
c-7f,192.168.13.43
c-9f,192.168.13.1
c-9f,192.168.13.2
c-9f,192.168.13.3
c-9f,192.168.13.4
c-9f,192.168.13.5
c-9f,192.168.13.6
c-9f,192.168.13.7
c-9f,192.168.13.8
c-9f,192.168.13.9
c-9f,192.168.13.10
c-9f,192.168.13.11
c-9f,192.168.13.12
c-9f,192.168.13.13
c-9f,192.168.13.14
c-9f,192.168.13.15
c-9f,192.168.13.16
c-9f,192.168.13.88
c-9f,192.168.13.89
c-9f,192.168.13.90
c-9f,192.168.13.91
