location,ip
a-1f,192.168.11.55
a-1f,192.168.11.56
a-1f,192.168.11.57
a-1f,192.168.11.58
a-1f,192.168.11.59
a-1f,192.168.11.60
a-1f,192.168.11.61
a-1f,192.168.11.62
a-1f,192.168.11.63
a-1f,192.168.11.64
a-1f,192.168.11.65
a-1f,192.168.11.66
a-1f,192.168.11.67
a-1f,192.168.11.68
a-1f,192.168.11.69
a-1f,192.168.11.70
a-1f,192.168.11.71
a-1f,192.168.11.72
a-1f,192.168.11.73
a-1f,192.168.11.74
a-1f,192.168.11.75
a-1f,192.168.11.76
a-1f,192.168.11.77
a-3f,192.168.11.49
a-3f,192.168.11.50
a-3f,192.168.11.51
a-3f,192.168.11.52
a-3f,192.168.11.53
a-3f,192.168.11.54
a-4f,192.168.11.41
a-4f,192.168.11.42
a-4f,192.168.11.43
a-4f,192.168.11.44
a-4f,192.168.11.45
a-4f,192.168.11.46
a-4f,192.168.11.47
a-5f,192.168.11.34
a-5f,192.168.11.35
a-5f,192.168.11.36
a-5f,192.168.11.37
a-5f,192.168.11.38
a-5f,192.168.11.39
a-5f,192.168.11.40
a-6f,192.168.11.27
a-6f,192.168.11.28
a-6f,192.168.11.29
a-6f,192.168.11.30
a-6f,192.168.11.31
a-6f,192.168.11.32
a-6f,192.168.11.33
a-7f,192.168.11.20
a-7f,192.168.11.21
a-7f,192.168.11.22
a-7f,192.168.11.23
a-7f,192.168.11.24
a-7f,192.168.11.25
a-7f,192.168.11.26
a-8f,192.168.11.13
a-8f,192.168.11.14
a-8f,192.168.11.15
a-8f,192.168.11.16
a-8f,192.168.11.17
a-8f,192.168.11.18
a-8f,192.168.11.19
a-9f,192.168.11.6
a-9f,192.168.11.7
a-9f,192.168.11.8
a-9f,192.168.11.9
a-9f,192.168.11.10
a-9f,192.168.11.11
a-9f,192.168.11.12
a-10f,192.168.11.1
a-10f,192.168.11.2
a-10f,192.168.11.3
a-10f,192.168.11.4
a-10f,192.168.11.5
a-10f,192.168.11.78
a-10f,192.168.11.79
